2001fo  04 37 41.45 -01 29 33.1 0.037
2001fs  04 39 30.68 -01 28 21.9 0.030
2001hs  04 39 22.39 -01 32 51.4 0.032
2001hu  07 50 35.90 +09 58 14.2 0.021
2001hx  08 49 24.61 +44 02 22.4 0.031
2001hy  08 49 45.85 +44 15 31.8 0.032
2001iv  07 50 13.53 +10 17 10.4 0.022
2001iw  07 50 39.32 +10 20 19.1 0.022
2001ix  10 52 18.92 +57 07 29.6 0.009
2001iy  10 52 24.28 +57 16 36.1 0.007
2001jb  02 26 33.31 +00 25 35.0 0.032
2001jf  02 28 07.13 +00 26 45.1 0.028
2001jh  02 29 00.29 +00 20 44.2 0.026
2001jm  04 39 13.82 -01 23 18.2 0.033
2001jn  04 40 12.00 -01 17 45.9 0.031
2001jp  08 46 31.40 +44 03 56.6 0.030
2001kd  07 50 31.24 +10 21 07.3 0.023
2002P   02 29 05.71 +00 47 20.1 0.030
2002W   08 47 54.42 +44 13 42.9 0.029
2002X   08 48 30.54 +44 15 35.3 0.029
2002aa  07 48 45.28 +10 18 00.8 0.024
2002ab  07 48 55.70 +10 06 06.3 0.020
2002ad  10 50 12.19 +57 31 11.6 0.007
