SN 2001fo 52164.57 I  0.000e+00 3.856e-02 -25.9               
SN 2001fo 52176.49 I  2.121e-02 1.845e-01 -19.2               
SN 2001fo 52191.50 I  2.818e+00 1.967e-01 -10.7 B -1.128 0.040
SN 2001fo 52204.59 I  7.106e+00 3.066e-01  -3.4 B -1.160 0.040
SN 2001fo 52225.39 I  5.854e+00 1.941e-01   8.4 B -1.205 0.040
SN 2001fo 52231.38 I  4.173e+00 2.044e-01  11.8 B -1.235 0.040
SN 2001fo 52232.35 I  4.051e+00 2.166e-01  12.3 B -1.239 0.040
SN 2001fo 52236.34 I  3.309e+00 2.796e-01  14.6 B -1.256 0.040
SN 2001fo 52252.35 I  1.309e+00 2.404e-01  23.6 B -1.277 0.040
SN 2001fo 52263.38 I  1.137e+00 3.753e-01  29.8 B -1.269 0.040
SN 2001fo 52283.39 I  5.289e-01 1.452e-01  41.1               
SN 2001fo 52288.23 I  8.426e-01 1.163e-01  43.8               
SN 2001fo 52289.38 I  3.406e-02 3.471e-01  44.5               
SN 2001fo 52323.35 I  2.828e-02 3.683e-01  63.7               
SN 2001fo 52369.25 I -5.399e-01 3.747e-01  89.6               
SN 2001fo 52204.53 R  5.952e+00 1.696e-01  -3.4               
SN 2001fo 52231.34 R  2.502e+00 1.690e-01  11.7               
SN 2001fo 52232.34 R  2.243e+00 1.387e-01  12.3               
SN 2001fo 52236.38 R  1.885e+00 1.885e-01  14.6               
SN 2001fo 52252.38 R  6.506e-01 1.291e-01  23.6               
SN 2001fo 52283.36 R  2.139e-01 1.228e-01  41.1               
SN 2001fo 52288.25 R  2.302e-01 1.480e-01  43.9               
SN 2001fo 52289.27 R  2.151e-01 6.303e-02  44.4               
SN 2001fo 52323.37 R -3.381e-01 3.923e-01  63.7               
SN 2001fo 52377.25 R  0.000e+00 2.167e-01  94.1               
SN 2001fo 52204.54 Z  7.411e+00 3.003e-01  -3.4 V -1.077 0.095
SN 2001fo 52231.39 Z  5.316e+00 2.354e-01  11.8 V -1.003 0.095
SN 2001fo 52232.40 Z  5.593e+00 3.003e-01  12.3 V -0.995 0.095
SN 2001fo 52236.31 Z  4.301e+00 3.583e-01  14.5 V -0.961 0.095
SN 2001fo 52252.31 Z  2.334e+00 3.156e-01  23.6 V -0.860 0.095
SN 2001fo 52283.43 Z  5.255e-01 3.412e-01  41.1               
SN 2001fo 52288.29 Z  1.264e+00 2.423e-01  43.9               
SN 2001fo 52289.23 Z  1.053e+00 3.583e-01  44.4               
SN 2001fo 52323.31 Z  0.000e+00 5.357e-01  63.6               
SN 2001fs 52164.57 I -3.597e-01 1.022e-01 -22.4                   
SN 2001fs 52176.49 I -2.352e-03 1.819e-01 -16.1                   
SN 2001fs 52191.50 I  1.617e+00 6.363e-02  -8.0 B -1.250 0.044
SN 2001fs 52198.59 I -3.404e-01 7.314e-01  -4.3               
SN 2001fs 52204.58 I  2.377e+00 2.821e-01  -1.1 B -1.243 0.044
SN 2001fs 52225.39 I  1.193e+00 8.805e-02  10.0 B -1.215 0.044
SN 2001fs 52231.37 I  1.313e+00 1.819e-01  13.2 B -1.176 0.044
SN 2001fs 52232.36 I  8.781e-01 1.568e-01  13.7 B -1.170 0.044
SN 2001fs 52236.33 I  8.621e-01 2.667e-01  15.8 B -1.152 0.044
SN 2001fs 52252.34 I -1.495e-01 3.284e-01  24.4               
SN 2001fs 52263.38 I  8.505e-02 4.936e-01  30.1 B -1.167 0.044
SN 2001fs 52283.38 I  2.207e-02 1.125e-01  40.7               
SN 2001fs 52288.22 I -5.004e-01 4.222e-01  43.5               
SN 2001fs 52289.37 I  4.090e-01 3.381e-01  43.9               
SN 2001fs 52323.34 I  2.444e-01 5.360e-01  62.0               
SN 2001fs 52369.24 I -2.851e-01 3.702e-01  86.8               
SN 2001fs 52204.52 R  1.167e+00 1.071e-01  -1.1               
SN 2001fs 52231.33 R  3.559e-01 1.188e-01  13.1               
SN 2001fs 52232.33 R  1.908e-01 9.968e-02  13.7               
SN 2001fs 52236.36 R  9.956e-03 8.357e-02  15.8               
SN 2001fs 52252.37 R -5.247e-02 8.498e-02  24.3               
SN 2001fs 52283.35 R  8.205e-02 1.196e-01  40.7               
SN 2001fs 52288.25 R  3.223e-01 1.530e-02  43.3               
SN 2001fs 52289.26 R  3.356e-01 1.609e-01  43.9               
SN 2001fs 52323.37 R -2.710e-02 2.328e-01  62.0               
SN 2001fs 52377.24 R  3.513e-02 2.408e-01  90.5               
SN 2001fs 52198.52 Z  4.686e-01 1.572e+00  -4.3               
SN 2001fs 52204.56 Z  3.623e+00 2.299e-01  -1.1 V -1.089 0.165
SN 2001fs 52231.43 Z  2.169e+00 2.726e-01  13.2 V -0.911 0.165
SN 2001fs 52232.38 Z  1.297e+00 3.261e-01  13.7 V -0.889 0.165
SN 2001fs 52236.29 Z  1.923e+00 6.736e-01  15.8 V -0.811 0.165
SN 2001fs 52252.29 Z  6.557e-01 7.537e-01  24.3 V -0.707 0.165
SN 2001fs 52283.41 Z  1.960e-01 2.459e-01  40.8               
SN 2001fs 52288.27 Z  3.029e-01 4.063e-01  43.3               
SN 2001fs 52289.21 Z -6.062e-02 1.818e-01  43.8               
SN 2001fs 52323.28 Z -1.001e+00 6.896e-01  61.9               
SN 2001hs 52164.57 I  6.764e-01 1.343e-01 -43.0               
SN 2001hs 52176.49 I  5.318e-01 9.576e-02 -36.5               
SN 2001hs 52191.50 I  4.296e-01 2.397e-01 -28.4               
SN 2001hs 52198.59 I -1.353e+00 1.204e+00 -24.5               
SN 2001hs 52204.58 I  2.408e-02 2.069e-01 -21.2               
SN 2001hs 52225.39 I  2.430e+00 1.144e-01  -9.9 B -1.209 0.014
SN 2001hs 52231.37 I  3.639e+00 1.215e-01  -6.6 B -1.222 0.014
SN 2001hs 52232.36 I  4.006e+00 8.998e-02  -6.1 B -1.224 0.014
